1	Tokyo,	Jepang
Mulai dari Tokyo dan Bangkok hingga Muscat dan London , Jepang memperlihatkan mengapa mereka menutup tahun dengan memuncaki ranking FIFA untuk negara-negara Asia  .	3	
Pada tanggal 21 dan 22 November , Kim Bum tampil pertama kali dalam konsernya di Jepang bertempat di Prince Hotel di Sinagawa , Tokyo  .	3	
Produk Tokyo Banana ini cukup terkenal di Jepang , sehingga mudah untuk menemukan produk ini  .	3	
RRC dan Jepang Buang Shinkansen ke Indonesia , Beijing dan Tokyo mau Pakai Kereta Magnetik yang Lebih Hebat	3	
Rayakan Perilisan Album Jepang , INFINITE Gelar Pameran Spesial di Tokyo INFINITE akan menyelenggarakan pameran khusus di Jepang untuk merayakan perilisan album studio Jepang pertama mereka  .	3	
Taecyeon akan menyanyikan lagu tersebut di konser Tokyo Dome Taecyeon mengatakan kepada eNews pada 16 April , Kami akan segera mengadakan konser Dome Tokyo , yang telah menjadi mimpi 2PM sejak memulai debut di Jepang  .	3	
Tokyo Banana telah membuat banyak orang penasaran karena produk ini hanya dijual di Jepang dan sangat sulit didapatkan di negara lain , sehingga cake ini menjadi lebih ekslusif  .	3	
Tokyo memiliki Kuil bernama Ryoho-Ji , kombinasi yang kreatif dari agama Buddha dan anime Jepang  !	3	
Yuk buat Sahabat yang pengen ikutin cerita seru petualangan Tomo dan Kokoro di Jepang , baca novel I Heart Tokyo Sudah bisa kamu dapatkan di toko-toko buku Gramedia terdekat loh  !	3	
, Tetapi juga akan memulai Live Tour di sekitar Jepang tahun ini , mengunjungi Tokyo , Nagoya , Osaka , dan Fukuoka  .	2	
2PM Sukses Menggelar Konser Legend of 2PM in Tokyo Dome 2PM yang memulai debutnya di Jepang pada Mei 2011 dengan single debut Jepang mereka , Take Off  .	2	
2PM akan gelar konser di Tokyo Dome , Legend of 2PM 2PM baru-baru ini mengumumkan melalui media Jepang bahwa mereka akan mengadakan konser di Tokyo Dome  .	2	
2PM akan pindah ke Tokyo dan Sapporo untuk tur mereka di Jepang  .	2	
AZHARI SASTRANEGARA- AHLI BENTURAN DARI MAJENE Doctor of engineering dari Tokyo Institute of Technology , Jepang , itu bergabung dengan produsen bearing dan komponen otomotif tersebut sejak April 2005  .	2	
Begitu juga dengan hotel Hilton Tokyo , yang terletak di Shinjuku , Jepang , yang menyajikan hidangan bertema Alice in Wonderland untuk para penggemar karya ciptaan Lewis Carroll tersebut  .	2	
Choi Jin Seok memotret Yoochun saat berangkat ke Jepang melalui bandara Gimpo untuk keperluan konser JYJ di Tokyo Dome  .	2	
Dia dan anggota lain saat ini sedang berada di Jepang , bersiap-siap untuk Super Show 5 yang diadakan di Tokyo Dome yang bergengsi  .	2	
Ehime terletak di sisi barat Jepang , sekitar 80 menit ditempuh dengan pesawat terbang dari Tokyo , dan sekitar 50 menit jika ditempuh dari Osaka  .	2	
FOTO Sukses Konser di Tokyo Dome , BABYMETAL Gelar Live Viewing di Seantero Jepang	2	
Foto-Foto Pementasan Adaptasi Kabuki One Piece di Tokyo Para fans di Jepang yang sudah menantikan adaptasi  .	2	
JYJ Disambut Ribuan Fans Menjelang Konser Tokyo Dome Mendatang JYJ disambut oleh ribuan penggemar di Korea dan Jepang  .	2	
Jepang Promosi Destinasi Wisata , Mulai Kuil Kuno di Kyoto hingga Disneyland di Tokyo	2	
KARA akan mengadakan 12 konser di 6 kota berbeda di Jepang , termasuk Yokohama , Osaka , Nagoya , Fukuoka , Tokyo dan Saitama  .	2	
KBRI Tokyo Buka Hotline untuk Update Gempa Jepang	2	
KBRI di Tokyo Terus Komunikasi dengan WNI di Jepang	2	
Kalau Sobat AQUA sedang berkunjung ke Jepang , coba kunjungi pasar Tsukiji di Tokyo  .	2	
Kalau iya , kamu adalah cewe yang kita cari untuk ikutan Pixy Tokyo Beauty Trip ke Jepang  .	2	
Kali ini bekerja sama dengan PPI Tokodai , PPI Jepang berhasil menelurkan Majalah Inovasi Online edisi ke-22 Mei 2014 edisi khusus Tokyo Tech Indonesian Commitment Award TICA 2013  .	2	
Logo baru Olimpiade Tokyo 2020 diumumkan Pihak penyelenggara Olimpiade Jepang sudah mengumumkan logo baru Oli  .	2	
2	Helsinki,	Finlandia
Dini hari nanti tim juara bertahan Piala Dunia itu akan menghadapi Finlandia , dalam laga lanjutan babak kualifikasi di Helsinki  .	1	
HOT NEWS Quat-Trick Klaas-Jan Huntelaar Bawa Schalke Gulung HJK Helsinki Die Koenigsblauen menghantam wakil Finlandia itu dengan skor 6-1 di Arena AufSchalke dan menyabet tiket ke babak grup berkat kemenangan agregat 6-3  .	1	
Indonesia Sajikan 8 Kopi Khas Nusantara di Helsinki , Ini Komentar Warga Finlandia	1	
Jelang bergulirnya EPL medio Agustus mendatang , Arsenal dan City melakoni laga uji coba di Helsinki Olympic Stadium , Finlandia , Sabtu 10 / 8 / 2013 malam  .	1	
KOTA TERJUJUR DIDUNIA Helsinki , ibu kota sekaligus salah satu kota terbesar di Finlandia kini miliki julukan sebagai kota paling jujur di dunia  .	1	
Linus Torvalds Ilmuwan Komputer asal Finlandia Linus Torvalds , lahir 28 Desember 1969 , di Helsinki , adalah ilmuwan komputer asal Finlandia yang merupakan kekuatan utama di balik pengembangan sistem operasi terbuka Linux  .	1	
Menhan RI bersama Delegasi Kemhan RI melakukan kunjungan kerja ke Estonia dan Finlandia dalam rangka mengembangkan kerjasama di bidang pertahanan dan keamanan antara Indonesia dengan Estonia dan Finlandia , demikian Sekretaris Pertama Bidang Pensosbud KBRI Helsinki , Made P Sentanajaya , London , Sabtu 19 / 7  .	1	
Nokia House Diserahkan Kepada Microsoft Pabrikan telekomunikasi Finlandia , Nokia mengatakan akan menyerahkan kantor pusatnya di luar Helsinki kepada Microsoft , sebagai bagian dari kesepakatan penjualan unit usaha telepon seluler kepada raksasa peranti lunak asal Amerika Serikat itu  .	1	
Sementara dalam pertemuan dengan Menhan Finlandia , Carl Haglund di Helsinki pada 16 Juli 2014 , selain mengupayakan kerjasama di bidang pertahanan dan keamanan cyber , menhan juga menginginkan adanya peningkatan kerjasama antara Indonesia dengan Finlandia di bidang Peace Keeping Operation , penelitian dan pengembangan industri pertahanan , serta kerjasama pendidikan dan pelatihan bagi staf TNI  .	1	
Sementara itu , sebelumnya , dalam pertandingan yang berlangsung di Olympiastadion , Helsinki , tuan rumah Finlandia gagal memetik tiga poin penuh setelah hanya bermain imbang 1-1 0-0 dengan tamunya Georgia  .	1	
Warga Finlandia Memprotes Rasisme Dalam Aksi Neo-Nazi di Helsinki	1	
Wesley Sneijder dan Belanda akan memiliki tugas berat memperbaiki hasil terakhir mereka- kekalahan 11-0 di San Marino- tetapi mereka akan berharap untuk kemenangan lainnya setidaknya secara keseluruhan untuk mengukuhkan tempat mereka di Euro 2012 ketika mereka menghadapi Finlandia di Stadion Olimpiade , Helsinki dalam Grup E kualifikasi 19 00 CET  .	1	
3	Madrid,	Spanyol
Madrid Klaim Dokumen Transfer De Gea On Time Beberapa media Spanyol , termasuk Cadena Ser , menyebut bahwa Real  .	31	
Basis Pendukung fanatik Spanyol adalah Valencia , Barcelona , Real Madrid , dan Atletico Madrid  .	12	
Dituduh Dukung Madrid , Petinggi Wasit Spanyol Siap Membela Diri	9	
Eks Kiper Spanyol Pertanyakan Keputusan Real Madrid Rekrut Casilla	9	
Salam Hormat Dari Madridista Real Madrid Fans Untuk SCTV Supaya semua Sinetron atau film pada Hari Sabtu , 8 April 2017 tayang lebih maju berikan keadilan pada Fans Real Madrid Indonesia untuk menayangkan Secara LIVE Derby 2 Raksasa Spanyol REAL MADRID vs ATLETICO MADRID  .	8	
Hasil Polling Real Madrid Favorit Juara La Liga Spanyol	7	
Madrid Miliki Talenta Muda Terbaik di Spanyol Saat Ini	7	
HASIL POLLING Zinedine Zidane Tak Bisa Bawa Real Madrid Juara La Liga Spanyol	6	
Lambatnya Playmaker Real Madrid Jadi Sorotan Media Spanyol	6	
Madrid Catat Kemenangan Besar Pada Pekan ke-22 La Liga Spanyol	6	
Real Madrid lahirnya di ibukota Spanyol dan di bantu didirikan oleh para bangsawan Spanyol , tetapi Barcelona didirikan oleh orang asing Swiss  .	6	
Semoga Musim Ini Real Madrid Mendapat Piala Dunia Antarklub , Liga Spanyol , Piala Raja Spanyol dan Liga Champion Eropa Aamiin	6	
Casillas adalah kiper terbaik yang dimiliki Spanyol yg hanya di miliki Real Madrid  .	5	
FT Real Madrid 4- 0 Ludogorets Ronaldo 20 , Bale 38 , Arbeloa 80 , Medran 88 rekor yg terpecahkan pagi ini Real Madrid telah mencapai 19 kemenangan beruntun , Terbanyak sepanjang sejarah Spanyol  .	5	
Gelar pertama Don Ballon pada tahun 1976 kategori pemain Spanyol terbaik di raih Miguel Ángel González pemain Real Madrid , kategori pemain asing terbaik di raih Johan Neeskens pemain Barcelona , dan kategori pelatih terbaik di raih Milan Miljani pelatih Real Madrid  .	5	
KBRI Spanyol promosi trade Expo Indonesia KBRI Madrid selaku Koordinator ASEAN Committee in Madrid mengelar  .	5	
Kendati demikian , mantan pelatih tim nasional Spanyol , Luis Aragones , yakin jika Madrid akan segera bangkit  .	5	
Madrid lahirnya di ibukota Spanyol , Barcelona didirikan oleh orang asing swiss 8  .	5	
Morata dari Juventus kembali ke Real Madrid Penyerang tim nasional sepakbola Spanyol , Alvaro Morata , yang me  .	5	
Perangi Media Spanyol , Perez Bikin Acara Baru di Real Madrid TV	5	
Please Join To Lensa Bola Mania Hot News Ancelotti Resmi Latih Klub Lahm Spanyol Bisa Chelsea Tak Hanya Bidik Evra Khawatir Dengan Madrid Akan Lepas Kaka , Januari Nanti  !	5	
Rapor amp ; Persiapan Real Madrid Menghadapi La Liga Spanyol 2015 16	5	
Real Madrid Resmi Gaet Bintang Timnas Spanyol U-19	5	
Salah satunya adalah , berkompetisi di Spanyol , banyak yang telah tahu bahwa Real Madrid dan Barcelona akan menang , bahkan saat pertandingan belum digelar  .	5	
Selain cemerlang di Real Madrid , Sant Iker juga cemerlang di timnas Spanyol  .	5	
Akan Coba Datangkan Sergio Van Dijk Barca Unggul Teknik , Madrid Menang Fisik Pendukung Persipura Demonstrasi di Senayan Duel Italia-Inggris atau Italia- Spanyol  ?	4	
Gagal ke Madrid , De Gea Terancam Tak Masuk Tim Spanyol	4	
Gelar Piala Super Spanyol ini menjadi raihan ke-11 Barca sepanjang sejarah dan masih menjadi tim dengan gelar Piala Super Spanyol terbanyak , unggul dua trofi dari Real Madrid  .	4	
Isco Resmi Perkuat MU Musim Depan Manchester , Kabar Mengejutkan dari Madrid Dan MU , gelandang asal Spanyol ini akan berlabuh ke MU musim depan karena kurang jam terbang di madrid dan menerima tawaran dari  .	4	
Mantan pemain kebanggaan Real Madrid itu dilaporkan kini hendak diboyong klub kaya raya Spanyol , Malaga , di bursa transfer sekarang  .	4	
Real Madrid bertahan di puncak klasemen Liga Spanyol	4	
Setahun sesudahnya , Ronaldo menyusul ke Spanyol dengan status pemain termahal dunia saat dibeli Real Madrid  .	4	
The Messiah hanya menelan tiga kekalahan yakni melawan Sevilla di Piala Super 2006 , melawan Real Madrid di Copa tahun 2011 , dan musuh yang sama di Piala Super Spanyol tahun 2012  .	4	
Alasan uker memancing Bale ke Madrid , bukan hanya berbekal kebesaran sejarah klub Ibukota Spanyol itu , tapi uker dengan bangga berpendapat , Madrid adalah klub yang lebih besar dari tim-tim mapan Inggris dan dianggap salah satu yang terbaik di galaksi bimasakti ini  .	3	
Analisis La Liga Spanyol 2016 17 Real Madrid Menyerang Frontal Untuk Trofi La Liga	3	
Apakah nasibnya di Madrid akan menular ke tim nasional Spanyol  ?	3	
Bahkan terakhir media Spanyol mendapatkan rekaman video ketika Messi meludah ke arah bench bangku cadangan Madrid di laga itu , sepertinya ia memang sedang begitu kesal malam itu  .	3	
Barca dan Madrid Recoki Persiapan Timnas Spanyol  ?	3	
Barcelona , Real Madrid , dan Malaga , menjadi tiga wakil dari Spanyol di babak delapan besar  .	3	
Bek Madrid dan Barcelona Berseteru , Pelatih Spanyol Cuek	3	
Berdasarkan berita itu , Blanco juga mengklaim Messi akan menjadi bagian dari delegasi Spanyol yang melawat sebagai perwakilan Madrid 2020 dalam International Olympic Committe IOC di Buenos Aires pada 7 September nanti untuk menentukan kota mana yang bakal menjadi tuan rumah  .	3	
Berdasarkan statistik Opta , Madrid juga menjadi tim Spanyol pertama yang mencetak enam gol tandang di tanah Jerman di kompetisi Eropa  .	3	
Bukan hanya tidak bisa membantu Barca dalam kompetisinya dengan Real Madrid , ia juga harus melewatkan Euro 2012 di mana Spanyol menjadi juara sekaligus mencetak sejarah  .	3	
Citra Messi sebagai pemain terbaik dunia yang bermain di Spanyol diharapkan akan membuat kota Madrid hadir dengan proposal kuat untuk bisa menjadi tuan rumah  .	3	
Dan dengan sejumlah pemain diproyeksikan bakal pergi , di antaranya Mesut Ozil dan Kaka , harian Spanyol AS melaporkan jika situasi Suarez di Liverpool masih dipantau serius petinggi Madrid yang menyiapkan pembelian kejutan di detik akhir  .	3	
Dan ternyata Reyes juga sependapat mengenai hal itu , dengan mengatakan kecil kemungkinan klub Spanyol lainnya bisa muncul di tengah dominasi Madrid dan Barca  .	3	
Di Liga Spanyol , El Clasico akan menyuguhkan duel Barcelona vs Real Madrid dalam laga di Camp Nou  .	3	
Di Spanyol Barcelona dan Real Madrid terus berkejaran saat menghadapi lawan-lawan mereka , Real Zaragoza dan Valencia  .	3	
Di partai final , Madrid menurunkan seluruh pemain berkebangsaan Spanyol , itu kali pertama terjadi dalam sejarah pertandingan antarklub Eropa  .	3	
Ditinggalkannya Adrian bisa dibilang sangat mengejutkan , karena striker Atletico Madrid itu tampil sensasional saat Spanyol mengalahkan Serbia 2-0 dalam uji coba semalam  .	3	
4	Paris,	Perancis
Dikutip dari AFP , Senin 15 / 11 / 2015 ini merupakan serangan udara pertama Perancis melawan ISIS setelah aksi teror kelompok itu di Paris  .	7	
Photobook mendatang akan berisi gambar yang diambil di Paris ketika Super Junior menggelar konser mereka di Perancis bulan April lalu  .	4	
Bulan Januari lalu G-Dragon menghadiri fashion show sebuah merk asal Perancis , Mugler , sementara Taeyang juga menghadiri Paris Fashion Week untuk 2014 Spring/Summer  .	2	
Chartres Cathedral Perancis sebuah katedral Katolik Ritus Latin yang terletak di Chartres , sekitar 80 kilometer 50 mil barat daya Paris , dianggap sebagai salah satu contoh terbaik di seluruh Perancis gaya arsitektur Gothic  .	2	
Kami sudah mempunyai kesepakatan pembiayaan US 40 miliar dari China Development Bank dan ICBC , kata Rini , usai menghadiri penandatanganan perjanjian antara Garuda Indonesia dengan BOC Aviation , di sela-sela Paris Air Show 2015 , Le Borguet , Perancis , Selasa 16 / 6 / 2015  .	2	
Khawatir Buntut Teror di Perancis , Ini No Darurat buat Turis Indonesia di Paris 33 1 45 50 34 60	2	
Melalui akun facebooknya dengan lebih 8 juta fans , pria kelahiran Suriah yang divonis hukuman mati oleh rezim Assad karena mendukung Revolusi Rakyat Suriah ini menyatakan Pertanyaan untuk ISIS Pertanyaan untuk ISIS yang mengaku bertanggung jawab tehadap serangan di Paris Kenapa kalian menyasar Perancis negara yang mendukung REVOLUSI di Suriah  ?	2	
Namun terlalu lebai dan heboh dalam memberikan bentuk dukungan terhadap Paris , adalah bagian dari bentuk lain atas dukungan terhadap Perancis dan uni eropa untuk menyerang Syria yang akan mendatangkan tragedi kemanusian yang jauh lebih besar  .	2	
Para peneliti Perancis dari Institut Pasteur di Paris telah menemukan obat penghilang penenang baru dan kuat terhadap rasa sakit , yang kekuatannya enam kali lipat lebih besar dibandingkan kekuatan morfin , saat diujicobakan pada tikus- tikus percobaan  .	2	
Saat tiba di Paris , ia tak mengerti bahasa Perancis  .	2	
Tersangka Pelaku Serangan Paris Dipindahkan dari Belgia ke Perancis	2	
Tetapi ada data yang bisa jadi sebagai pengelabuan sejarah , dikatakan pada akhirnya Napoleon dimakamkan secara Kristen di Perancis pada tgl 15 Desember 1840 di gereja Paris , namun sepertinya hal tersebut sebagai sesuatu informasi yang dibuat oleh pihak barat untuk mengaburkan fakta bahwa beliau adalah seorang Muslim  .	2	
Warga Perancis , AS , Inggris , dan Lainnya Jadi Korban Tewas Tragedi Paris	2	
14 Nov- Pasukan keselamatan Perancis menyerbu dewan konsert Bataclan di tengah Paris selepas penyerang membunuh  .	1	
14 Pencetus ide tersebut adalah Jules Rimet , seorang pengacara dan pengusaha Perancis yang terinspirasi setelah menonton Olimpiade Paris tahun 1924  .	1	
153 Terbunuh Di Paris , VIDEO Letupan Bom Cemari Aksi Perancis Jerman	1	
3 perkara yang Fatah tau pasal Perancis 1 Eiffel Tower 2 Kelab Paris st Germain 3 Aliz e No 3 tu ohsem	1	
@Bumiipertiwii GFN- Kehadiran David Beckham sebagai pemain Paris Saint-Germain PSG disambut sinis oleh sebagian media Perancis  .	1	
AKSI Maria Sharapova ketika menentang Hsieh Su-Wei dalam pertemuan perseorangan wanita pada Terbuka Perancis di Roland Garros , Paris , pagi ini  .	1	
ANCELOTTI INGIN LATIH REAL MADRID Carlo Ancelotti mengaku ingin meninggalkan kursi kepelatihan di Paris Saint Germain setelah membawa klub itu menjuarai Liga Perancis musim ini  .	1	
Agensi Super Junior SM Entertainment mengatakan , Super Junior sukses dengan konser SUPER JUNIOR WORLD TOUR SUPER SHOW 4 IN PARIS di LeZenith de Paris pada tanggal 6 April , dan menarik perhatian penggemar dari Perancis , Inggris , Jerman , Polandia , Hungaria , dan masih banyak lagi Mereka menampilkan berbagai lagu hit mereka antara lain , Sorry Sorry , Bonamana , Mr Simple , serta penampilan individu yang mendapatkan respon positif dari 7  .	1	
Aksi Horor Berantai di Kota Paris , Mostefai Bomber Asli Perancis Bunuh 89 Orang	1	
Aksi Pria Ini Membuat Warga Perancis Menangis Setelah Tragedi Paris	1	
Aku percaya Zlatan dan Cristiano dapat berprestasi besar di Paris , tandas Raiola yang dilansir koran Perancis , Le Parisien , Jumat 2 / 11 / 2012  .	1	
Analisaku Buntut dari aksi teror di Paris adalah utk memberi alasan pembenaran bagi presiden Perancis memutuskan utk terlibat perang turut mengirim pasukan ke daerah konflik di Syria  .	1	
Apple Perancis Hadirkan Pita Hitam Tanda Berkabung Usai Tragedi Paris	1	
Arc de Triomphe Paris Monumen terkenal di kota Paris , terletak di jalan ternama Champs de Ellyse , lambang kemenangan Perancis di zaman kekaisaran Napoleon Bonaparte  .	1	
BERKAT ORANG INI , ISIS LELUASA BERKOMUNIKASI SECARA RAHASIA Menurutnya , Pemerintah Perancis sama-sama bertanggung jawab atas serangan Paris  .	1	
Baku tembak antara kepolisian Perancis dan terduga pelaku teror Paris meletus di wilayah Saint Denis , Rabu pagi 18 / 11 waktu setempat  .	1	
Beberapa jam sebelumnya di Perancis , Lavezzi telah berbicara Saya harus mengubah lokasi saya di Paris , dalam sepak bola Anda tidak pernah tahu apa-apa  .	1	
Beckham menyatakan gantung sepatu setelah membawa Paris Saint-Germain menjadi juara Ligue 1 Perancis  .	1	
Beckham yang memulakan karier dengan menyertai akademi bola sepak Manchester United , juga bermula dari usia 14 tahun , bersara minggu lalu selepas membantu Paris St Germain PSG menjuarai liga Perancis  .	1	
Begitu mengetahui berita pementasan itu , Abdul Hamid memberi perintah kepada pemerintah Perancis melalui dutanya di Paris supaya memberhentikan pementasan drama itu dan mengingatkan akan akibat politik yang bakal dihadapi oleh Perancis jika ia meneruskan pementasan itu  .	1	
Beliau kini mengikat kontrak lima bulan bersama kelab Paris St Germain di Perancis  .	1	
Bereaksi Keras Terhadap Serangan Paris , Netizen Jokowi Lebih Hargai Nyawa Orang Perancis Daripada Nyawa Rakyat	1	
Beri Dukungan Moral Perancis , Presiden Jokowi Minggu ke Paris Hadiri Konferensi Perubahan Iklim	1	
Cathédrale Notre-Dame de Paris ini ternyata telah menginspirasi salah satu pengarang paling ternama dari Perancis dan berhasil melahirkan mahakarya sastra yang telah diterjemahkan ke berbagai bahasa , salah satunya yaitu The Hunchback of Notredame Inggris dan Si Cantik dari Notredame Indonesia  .	1	
Cine News A Memory in 8 Tweets dari Guillermo del Toro untuk Insiden Perancis Sutradara Guillermo del Toro ikut mengungkapkana rasa prihatinnya atas kejadian di Paris , bagaimana menurut kalian  ?	1	
David Alaba Austria / FC Bayern Muenchen- Jordi Alba Spanyol / FC Barcelona- Dani Alves Brasil / FC Barcelona- Jerome Boateng Jerman / FC Bayern Muenchen- Daniel Carvajal Spanyol / Real Madrid CF- David Luiz Brasil / Paris St-Germain FC- Filipe Luis Brasil / Chelsea FC- Diego Godin Uruguay / Atletico Madrid- Mats Hummels Jerman / Borussia Dortmund- Branislav Ivanovic Serbia / Chelsea FC- Vincent Kompany Belgia / Manchester City FC- Philipp Lahm Jerman / FC Bayern Muenchen- Marcelo Brasil / Real Madrid CF- Javier Mascherano Argentina / FC Barcelona- Pepe Portugal / Real Madrid CF- Gerard Pique Spanyol / FC Barcelona- Sergio Ramos Spanyol / Real Madrid CF- Thiago Silva Brasil / Paris St-Germain FC- Raphael Varane Perancis / Real Madrid CF- Pablo Zabaleta Argentina / Manchester City FC  .	1	
Denis di pinggir Paris awal pagi ini , ketika polis Perancis menggempur dan mengepung sebuah apartmen yang dipercayai menjadi tempat persembunyian seorang warga Belgium yang disyaki dalang serangan berdarah di kota Paris pada Jumaat lalu  .	1	
Der Wiel Semakin Jauh Dari PSG Menurut sebuah laporan dari situs Perancis LE 10 Sport , Gregory van der Wiel akan segera meninggalkan Paris Saint Germain  .	1	
Duka di Paris , pesta kemenangan di Lisabon Pendukung Perancis hening dalam kekecewaan , sementara  .	1	
Edisi ke-20 Salon du Chocolat di Paris dirasmikan dengan pertunjukan fesyen oleh selebriti Perancis menggayakan baju yang diperbuat dariapada coklat  .	1	
Evra mengajak Carla datang ke Paris saat dirinya sedang berada di sana untuk melakoni friendly match kontra Jerman bersama Perancis , Rabu 6 / 2  .	1	
Fans di Perancis menjadi gila selama konser SMTOWN Live in Paris awal tahun ini , dimana Super Junior tampil didalamnya  .	1	
France Vs ISIS Perancis Kirim Kapal Induk ke Suriah , Daulah Kirim Bom ke Paris lewat @atjehcyber  .	1	
GAMELAN BALI SEMAKIN BERKEMBANG DI MANCANEGARA Musik tradisional Bali kini telah mendunia , bahkan dunia internasional mulai berkenalan dengan gamelan , sejak komponis Perancis , Claude Debussy 1862-1918 , menontonnya di Pameran Semesta yang digelar di Paris pada 1889 untuk memperingati 100 tahun Revolusi Perancis  .	1	
GARA-GARA ORANG INI , ISIS LELUASA BERKOMUNIKASI SECARA RAHASIA Menurutnya , Pemerintah Perancis sama-sama bertanggung jawab atas serangan Paris  .	1	
Galeri Foto Perancis isytihar darurat , serangan di Paris	1	
5	Havana,	Kuba
Kuba Luncurkan Akses Internet untuk Umum di Havana	2	
Warga Kuba dan turis sambut Obama di Havana Kunjungan Presiden Barack Obama ke Kuba , bersama ibu negara dan ke  .	2	
Amerika , Kuba akan Buka Kedutaan di Washington dan Havana	1	
Assad lahir di Havana , ketika Komunisme Kuba mencapai kejayaannya , Namun , keluarga Assad merupakan pihak yang menentang revolusi Castro  .	1	
Havana , kota tua nan indah di negara Kuba , dimana penduduk lokal nya terkenal dengan keramahan nya  .	1	
Informasi Lowongan Direktur UNESCO Office di Havana merangkap UNESCO Representative untuk Kuba , Republik Dominika ,	1	
Kasus baru tersebut dideteksi di Provinsi Havana , bagian barat Kuba , serta di Camaguey dan Santiago de Cuba Timur , kata laporan itu-yang bertanggal 23 Agustus  .	1	
Tiba di Havana , The Rolling Stones Wujudkan Mimpi Rakyat Kuba	1	
Tiga Pemain Kuba Kabur Sebelum Pertandingan OSF , Havana FIFA memastikan tiga pemain Kuba yang hilang sebelum laga kualifikasi Piala Dunia 2014 di Kanada telah melarikan diri  .	1	
6	Tehran,	Iran
Iran Protest gathering in Tehran , Mashhad	17	
Iran protesting expulsion of 4 nurses in Tehran	7	
Iran street food in Tehran	6	
Iran Ramadan terror plot on Tehran foiled- CNN	3	
Iran expels second-ranking Bahraini diplomat in Tehran Fars	3	
Tehran Saudi Arabia Airstrikes Hit Iran Embassy in Yemen	3	
After Iran deal , EU's Mogherini to visit Tehran , Saudi Arabia- Reuters	2	
Dalam forum ekonomi Indonesia di Kamar Dagang Iran , Industri dan Pertambangan ICCIM , Kuasa Usaha Kedutaan Besar Indonesia di Tehran Aji Setiawan , mengatakan bahwa Pembentukan bank swasta di kedua negara akan membantu menghilangkan hambatan perdagangan  .	2	
